optimizer,lr,dropout,weight_decay,normalization,batch_size,epochs,final_train_loss,final_test_loss,final_test_accuracy,best_test_accuracy,best_epoch_num,epoch_train_losses,epoch_test_losses,epoch_test_accuracies
SGD,0.01,0.0,0.0,None,64,10,0.42286099634889857,0.3465686218261719,0.8748,0.8748,9,"[0.9764019533324597, 0.6522788678341583, 0.5762840731502342, 0.5364470448035167, 0.5022144576570372, 0.48338656550023096, 0.46298042438558934, 0.44519357154491357, 0.4336145134972357, 0.42286099634889857]","[0.5611084167480469, 0.47975640869140623, 0.44718977966308593, 0.4209635803222656, 0.40131048583984374, 0.39501753540039064, 0.3905205810546875, 0.3619236328125, 0.36948140563964843, 0.3465686218261719]","[0.7931, 0.8221, 0.8342, 0.8463, 0.8512, 0.8562, 0.8548, 0.8643, 0.8647, 0.8748]"
SGD,0.01,0.0,0.0,None,128,10,0.48104443358205784,0.39153035278320314,0.8604,0.8606,8,"[1.211146393056109, 0.7665943166594515, 0.6628301662168523, 0.6106582257920491, 0.5775536977405995, 0.5461281173900246, 0.5220611347699724, 0.5090498973184557, 0.49398750556049065, 0.48104443358205784]","[0.6756664306640625, 0.5604309448242187, 0.5114373352050782, 0.4719800964355469, 0.45247966003417966, 0.4364960876464844, 0.41681174926757814, 0.4040463256835938, 0.393833935546875, 0.39153035278320314]","[0.7536, 0.7882, 0.8085, 0.8286, 0.8365, 0.8394, 0.8452, 0.8548, 0.8606, 0.8604]"
SGD,0.01,0.0,0.0,None,256,10,0.5452591619593032,0.43730704650878904,0.8383,0.8383,9,"[1.4128996227649933, 0.8706409865237297, 0.7463860945498689, 0.6877045730327038, 0.6495395650254919, 0.6171682776288784, 0.5937499587840223, 0.5794198163012241, 0.5613100598467157, 0.5452591619593032]","[0.767846337890625, 0.6229457336425781, 0.5619337768554687, 0.5320678833007813, 0.5076994445800781, 0.48514188842773437, 0.4764476043701172, 0.464026611328125, 0.4531163269042969, 0.43730704650878904]","[0.7355, 0.768, 0.7855, 0.7947, 0.812, 0.8183, 0.8223, 0.8298, 0.8343, 0.8383]"
SGD,0.01,0.0,0.0,batchnorm,64,10,0.3716724236001338,0.3286993957519531,0.8794,0.8794,9,"[0.8212885341601077, 0.5690486527391588, 0.5044430318449352, 0.46924863120258997, 0.44115598581588344, 0.42091109379649416, 0.4073018538894684, 0.3955524783017539, 0.3838710177904253, 0.3716724236001338]","[0.48522232971191404, 0.4273810791015625, 0.3944378143310547, 0.3854249114990234, 0.35836730346679685, 0.3427083038330078, 0.3513548004150391, 0.32772540588378907, 0.3325786804199219, 0.3286993957519531]","[0.8188, 0.8421, 0.8546, 0.8597, 0.8675, 0.8733, 0.8727, 0.8778, 0.8785, 0.8794]"
SGD,0.01,0.0,0.0,batchnorm,128,10,0.4063259110267737,0.3311696228027344,0.8808,0.8808,9,"[0.9298101023061952, 0.6267119702626901, 0.5418346257352117, 0.5053939602014098, 0.4748874295876224, 0.452874138220541, 0.43488205591244483, 0.42712816214764804, 0.4167889163438191, 0.4063259110267737]","[0.5190526214599609, 0.442200634765625, 0.4015108184814453, 0.39278439636230467, 0.37509182434082033, 0.35980119018554685, 0.3498885223388672, 0.3434366119384766, 0.33374076232910155, 0.3311696228027344]","[0.8109, 0.8413, 0.853, 0.8542, 0.8646, 0.8679, 0.8711, 0.8761, 0.8798, 0.8808]"
SGD,0.01,0.0,0.0,batchnorm,256,10,0.4582268014867255,0.36665982666015623,0.8686,0.8686,9,"[1.0926094369685395, 0.7341769418817885, 0.6388069251750378, 0.5845351512127734, 0.549160565467591, 0.5218271907339704, 0.5008892977491338, 0.48705321867415247, 0.47030470181018746, 0.4582268014867255]","[0.6115866760253906, 0.5248126586914063, 0.46249525451660156, 0.44007235717773435, 0.4188766082763672, 0.4149493011474609, 0.3931452575683594, 0.3938844818115234, 0.37383152160644534, 0.36665982666015623]","[0.7802, 0.808, 0.8351, 0.8379, 0.8516, 0.8497, 0.8556, 0.8573, 0.8647, 0.8686]"
SGD,0.01,0.0,0.0,layernorm,64,10,0.3777982224819503,0.32931877746582033,0.8804,0.8841,8,"[0.8361171576450629, 0.5718094803122823, 0.5029057119129055, 0.466500818141615, 0.44654890974320327, 0.4212902915407854, 0.40951950498608386, 0.3983501525861876, 0.38553220265582683, 0.3777982224819503]","[0.5074317291259766, 0.45110199279785157, 0.4001338989257813, 0.3788696533203125, 0.3619415802001953, 0.3513517456054687, 0.3477980010986328, 0.34141248168945315, 0.32784237670898436, 0.32931877746582033]","[0.8164, 0.8361, 0.8551, 0.8632, 0.8696, 0.874, 0.8771, 0.8761, 0.8841, 0.8804]"
SGD,0.01,0.0,0.0,layernorm,128,10,0.4274379947165182,0.34869721069335935,0.8711,0.8747,8,"[1.1005027796159674, 0.6816740412193575, 0.5938739677482068, 0.5414843662207061, 0.5052413944242351, 0.48321628487948926, 0.4645436729576542, 0.4496329139544766, 0.4362457531855813, 0.4274379947165182]","[0.5517496459960938, 0.4665687072753906, 0.4283601135253906, 0.4089788482666016, 0.3925148956298828, 0.3742939697265625, 0.36803753356933594, 0.36937029724121095, 0.3492709869384766, 0.34869721069335935]","[0.7974, 0.8329, 0.8443, 0.8526, 0.8564, 0.8653, 0.8609, 0.8626, 0.8747, 0.8711]"
SGD,0.01,0.0,0.0,layernorm,256,10,0.46685940788147295,0.3758618835449219,0.8631,0.8631,9,"[1.140873030906028, 0.7257963309896753, 0.6428137465994409, 0.5884112807030374, 0.5566399990244114, 0.5289034546689785, 0.5105133331836538, 0.49260859502122756, 0.48017914675651713, 0.46685940788147295]","[0.6052198974609375, 0.5133270111083984, 0.4765221252441406, 0.4527089782714844, 0.4166795135498047, 0.4100817932128906, 0.4011684875488281, 0.38552764892578123, 0.3846196746826172, 0.3758618835449219]","[0.7812, 0.8132, 0.831, 0.8332, 0.8504, 0.8511, 0.8559, 0.8591, 0.8606, 0.8631]"
SGD,0.01,0.0,0.0001,None,64,10,0.396993840800356,0.33698000793457034,0.8788,0.88,8,"[0.9463914939716681, 0.6170254134928493, 0.5458260404148589, 0.5055404375674628, 0.4736074157901156, 0.4559121594976769, 0.43853640216372924, 0.42094914888395174, 0.4112446973604688, 0.396993840800356]","[0.5457071044921875, 0.4712430236816406, 0.42896062622070313, 0.39872874145507814, 0.3855396270751953, 0.37305908508300784, 0.3625993255615234, 0.3654188934326172, 0.3370665771484375, 0.33698000793457034]","[0.7895, 0.8215, 0.8378, 0.8511, 0.857, 0.8617, 0.8636, 0.8673, 0.88, 0.8788]"
SGD,0.01,0.0,0.0001,None,128,10,0.46768879134263563,0.3863294494628906,0.8579,0.8579,9,"[1.1275518725929992, 0.7296465570484397, 0.6402100977867142, 0.5943261988000321, 0.5617879087101422, 0.5363029016614723, 0.5157008296264006, 0.49469811137297004, 0.47750866260609903, 0.46768879134263563]","[0.6411406799316406, 0.54396162109375, 0.49900722351074217, 0.46995625915527345, 0.446955615234375, 0.4301014770507812, 0.41154754638671875, 0.4011880035400391, 0.3867945831298828, 0.3863294494628906]","[0.752, 0.7819, 0.8051, 0.8176, 0.8309, 0.8394, 0.8472, 0.8508, 0.8549, 0.8579]"
SGD,0.01,0.0,0.0001,None,256,10,0.5578541635198796,0.4553835479736328,0.8337,0.8337,9,"[1.311189275092267, 0.8611385426622756, 0.7478796058512749, 0.690964629802298, 0.650490609635698, 0.6280832332499484, 0.6062798975630009, 0.5888535526204617, 0.5692115025317416, 0.5578541635198796]","[0.7703664733886719, 0.6211508850097657, 0.5762656524658203, 0.5446651123046875, 0.5247362884521485, 0.5079514434814453, 0.49519329223632813, 0.4751583679199219, 0.46851375732421874, 0.4553835479736328]","[0.7294, 0.775, 0.7823, 0.802, 0.8032, 0.8094, 0.8133, 0.826, 0.8312, 0.8337]"
SGD,0.01,0.0,0.0001,batchnorm,64,10,0.3693401264483486,0.3204605682373047,0.8815,0.8824,8,"[0.8211591767349731, 0.5579582250702864, 0.4995376718387421, 0.4583867775764801, 0.4375086968292051, 0.4189334921300538, 0.4028069091790012, 0.3914728082065135, 0.37969982887763204, 0.3693401264483486]","[0.48085650329589846, 0.41983262634277346, 0.3833496826171875, 0.37113490600585936, 0.3551516326904297, 0.35053578186035156, 0.3313681945800781, 0.34596314392089844, 0.32199979858398436, 0.3204605682373047]","[0.8254, 0.8453, 0.8571, 0.8637, 0.8676, 0.873, 0.8779, 0.8742, 0.8824, 0.8815]"
SGD,0.01,0.0,0.0001,batchnorm,128,10,0.40759961110061166,0.3447427947998047,0.8766,0.8766,9,"[0.9268232249756103, 0.6282879044887608, 0.553006983515042, 0.5107560243560816, 0.4842859964762161, 0.4643645520721163, 0.447601672365213, 0.433365465608487, 0.4210765479978468, 0.40759961110061166]","[0.5209796722412109, 0.4471981567382812, 0.41682216796875, 0.38534225158691404, 0.3719303771972656, 0.36479304504394533, 0.36104285583496093, 0.3456987762451172, 0.34017755126953125, 0.3447427947998047]","[0.8168, 0.8406, 0.852, 0.8629, 0.8682, 0.8709, 0.8716, 0.8754, 0.8753, 0.8766]"
SGD,0.01,0.0,0.0001,batchnorm,256,10,0.46734649716539584,0.4034992279052734,0.8506,0.8629,8,"[1.0844846367835999, 0.7207219788368712, 0.6317047909219214, 0.5855231529854713, 0.5494164262680297, 0.5221707484823592, 0.5073052420261058, 0.48951921057193837, 0.47625609927989065, 0.46734649716539584]","[0.590122900390625, 0.5114218017578125, 0.47202828369140626, 0.44682426147460935, 0.4218900268554687, 0.41531398010253906, 0.4018168304443359, 0.3915819763183594, 0.38312769775390626, 0.4034992279052734]","[0.7837, 0.8173, 0.8312, 0.8389, 0.849, 0.8521, 0.8517, 0.8612, 0.8629, 0.8506]"
SGD,0.01,0.0,0.0001,layernorm,64,10,0.3801916037827158,0.32031700744628905,0.8812,0.8812,9,"[0.8293577364957663, 0.5627810893409542, 0.500382370007699, 0.4659596344332959, 0.4441499920891546, 0.42639363294979654, 0.41222449163320474, 0.40022955629934887, 0.38854928255907256, 0.3801916037827158]","[0.4624803253173828, 0.4109973083496094, 0.38882791748046874, 0.36622593994140623, 0.3517147705078125, 0.3446656890869141, 0.3394517883300781, 0.3456265838623047, 0.33480703735351564, 0.32031700744628905]","[0.8303, 0.8481, 0.8523, 0.861, 0.8712, 0.8695, 0.8724, 0.8672, 0.8783, 0.8812]"
SGD,0.01,0.0,0.0001,layernorm,128,10,0.40309278346073907,0.3517671813964844,0.8673,0.868,7,"[0.9586903635881094, 0.6189910101610968, 0.5489086034074266, 0.5097341000525428, 0.47495427352787334, 0.45464674521610937, 0.43756103089877535, 0.42575375376733887, 0.41278287949465486, 0.40309278346073907]","[0.5199471801757812, 0.44287957763671876, 0.4163247924804688, 0.3948461212158203, 0.38303364868164064, 0.36449188537597654, 0.3632074890136719, 0.3563388122558594, 0.3589806182861328, 0.3517671813964844]","[0.8068, 0.8336, 0.8434, 0.8537, 0.858, 0.8613, 0.8624, 0.868, 0.8669, 0.8673]"
SGD,0.01,0.0,0.0001,layernorm,256,10,0.456262795088139,0.372816455078125,0.863,0.863,9,"[1.208712323929401, 0.7559358406574168, 0.6457932160255757, 0.5910361484010169, 0.5531409509638523, 0.5215261094113613, 0.5021122186741931, 0.4840503285539911, 0.46977001809059304, 0.456262795088139]","[0.6602979309082031, 0.5325218597412109, 0.48729747314453126, 0.4466125, 0.43568841247558593, 0.4127645660400391, 0.39812017211914064, 0.38937349548339845, 0.39824093322753906, 0.372816455078125]","[0.7674, 0.8074, 0.8264, 0.8412, 0.8397, 0.8495, 0.8551, 0.858, 0.8565, 0.863]"
