optimizer,lr,dropout,weight_decay,normalization,batch_size,epochs,final_train_loss,final_test_loss,final_test_accuracy,best_test_accuracy,best_epoch_num,epoch_train_losses,epoch_test_losses,epoch_test_accuracies
SGD,0.01,0.0,0.0,None,64,10,0.2799289171883801,0.2823954345703125,0.8944,0.8944,9,"[0.8074970572932697, 0.49076814638144933, 0.42644581367084977, 0.3894787469843049, 0.36279128842961306, 0.3397683676149545, 0.32081507470434917, 0.3060302475828733, 0.2934233688199317, 0.2799289171883801]","[0.4943728515625, 0.41114757080078124, 0.37437241821289063, 0.34821832275390624, 0.3380484130859375, 0.3169708526611328, 0.2958136291503906, 0.28780045776367186, 0.288354296875, 0.2823954345703125]","[0.8121, 0.8481, 0.8571, 0.87, 0.8715, 0.884, 0.8913, 0.8943, 0.8925, 0.8944]"
SGD,0.01,0.0,0.0,None,128,10,0.33339655516879646,0.3068700912475586,0.8878,0.8878,9,"[0.9766992122125524, 0.5726520171933083, 0.49253993381315203, 0.4483425377973361, 0.41789997256259676, 0.3930979539145793, 0.37663279985313985, 0.3592477548541799, 0.34741640345119973, 0.33339655516879646]","[0.5577327026367187, 0.47430747985839844, 0.41215300598144533, 0.38593515625, 0.3647258605957031, 0.36748157653808594, 0.33700394592285154, 0.33262391967773436, 0.32518445739746094, 0.3068700912475586]","[0.7931, 0.8214, 0.8506, 0.8606, 0.8649, 0.8651, 0.8733, 0.8795, 0.8775, 0.8878]"
SGD,0.01,0.0,0.0,None,256,10,0.3910590841415081,0.3636808929443359,0.8643,0.8643,9,"[1.1606815954472156, 0.6646800832545504, 0.5700485783688566, 0.5218247350226057, 0.4826505787829135, 0.4570034074022415, 0.43331589508563917, 0.4196846596738125, 0.4033425270242894, 0.3910590841415081]","[0.7158272033691406, 0.5500243621826172, 0.48474195556640626, 0.4661365814208984, 0.42964869079589846, 0.4087894378662109, 0.3931457672119141, 0.38496776428222657, 0.38784444885253905, 0.3636808929443359]","[0.7233, 0.793, 0.8177, 0.822, 0.8412, 0.85, 0.8559, 0.8578, 0.8542, 0.8643]"
SGD,0.01,0.0,0.0,batchnorm,64,10,0.1887841488141368,0.22728223419189453,0.9156,0.9188,8,"[0.5342456074729403, 0.3544586366459505, 0.30535526339338026, 0.2742865478067891, 0.2540504234209498, 0.23627537389252104, 0.22224671742729923, 0.20998421147751656, 0.1973879229205885, 0.1887841488141368]","[0.35259326782226563, 0.2863050064086914, 0.27327683868408204, 0.2560374649047852, 0.23813426208496094, 0.2676010025024414, 0.22500891876220702, 0.22322986297607422, 0.2242242202758789, 0.22728223419189453]","[0.8703, 0.8956, 0.9009, 0.9063, 0.9136, 0.903, 0.9159, 0.9158, 0.9188, 0.9156]"
SGD,0.01,0.0,0.0,batchnorm,128,10,0.19976450299530396,0.22044737243652343,0.9206,0.9208,8,"[0.5664723469123149, 0.37015528792638513, 0.317593431294854, 0.28613737492419, 0.26497411921715686, 0.24720287888543183, 0.23088468859063538, 0.21797464552845783, 0.20794058559355197, 0.19976450299530396]","[0.346778466796875, 0.2974133972167969, 0.2677804107666016, 0.26351122589111325, 0.2501954818725586, 0.24534270629882812, 0.2318558349609375, 0.23152052307128906, 0.21957738952636718, 0.22044737243652343]","[0.8722, 0.8898, 0.9016, 0.9066, 0.9096, 0.9099, 0.9146, 0.9191, 0.9208, 0.9206]"
SGD,0.01,0.0,0.0,batchnorm,256,10,0.22244148806054542,0.24358043365478516,0.9111,0.9111,9,"[0.6384282757627203, 0.4090074340079693, 0.349024728130787, 0.3142829090356827, 0.2912197010948303, 0.27155908276426033, 0.25436830305038616, 0.2462064839423971, 0.23344812748279978, 0.22244148806054542]","[0.3916733581542969, 0.331862548828125, 0.3231542999267578, 0.2806490295410156, 0.29034650268554685, 0.29084107360839845, 0.25758630676269534, 0.2453526596069336, 0.24660175170898438, 0.24358043365478516]","[0.8556, 0.8783, 0.881, 0.9, 0.8938, 0.8918, 0.9059, 0.9093, 0.9091, 0.9111]"
SGD,0.01,0.0,0.0,layernorm,64,10,0.21455931398215325,0.21658898620605468,0.9216,0.9216,9,"[0.6462873320526151, 0.40684078717981575, 0.34332658141565475, 0.30708563238032843, 0.2846462154296288, 0.26387324177824867, 0.2493704504279821, 0.23743174497538538, 0.2241177867843843, 0.21455931398215325]","[0.3864903778076172, 0.3486732086181641, 0.28198260498046873, 0.2750729598999023, 0.2724814987182617, 0.24844999694824219, 0.2465006591796875, 0.23388591156005858, 0.22929334411621094, 0.21658898620605468]","[0.8605, 0.8727, 0.8991, 0.8992, 0.8987, 0.9126, 0.9078, 0.9147, 0.9185, 0.9216]"
SGD,0.01,0.0,0.0,layernorm,128,10,0.2300386276961898,0.23698830108642577,0.9139,0.9141,8,"[0.6989363500558491, 0.43017119804679205, 0.36723756774275035, 0.3253995376482193, 0.29872770833054074, 0.2808345148304124, 0.26607654381916723, 0.24866102913867183, 0.2400430715255646, 0.2300386276961898]","[0.4290905456542969, 0.34247864685058593, 0.3146802703857422, 0.29097366027832033, 0.2710366439819336, 0.255306282043457, 0.25676600036621094, 0.24964828338623046, 0.2407470703125, 0.23698830108642577]","[0.8416, 0.8718, 0.8848, 0.8934, 0.8998, 0.9079, 0.9071, 0.9076, 0.9141, 0.9139]"
SGD,0.01,0.0,0.0,layernorm,256,10,0.2707085727377141,0.25287115783691405,0.908,0.908,9,"[0.9495172855701852, 0.5084059522507038, 0.428866353440792, 0.38321650345274744, 0.35561539258094543, 0.3293213669289934, 0.31111799599008355, 0.29398434466504036, 0.2854298113508427, 0.2707085727377141]","[0.4725643768310547, 0.38019813842773437, 0.34810522766113283, 0.3307445495605469, 0.3004582092285156, 0.29965859375, 0.2855475311279297, 0.28516616821289065, 0.2673945388793945, 0.25287115783691405]","[0.8308, 0.8587, 0.871, 0.8777, 0.891, 0.891, 0.8966, 0.8957, 0.9035, 0.908]"
SGD,0.01,0.0,0.0001,None,64,10,0.2812051422782798,0.27123089447021487,0.9019,0.9019,9,"[0.7936678551026245, 0.49343747049887804, 0.43143891887878305, 0.3949955855605445, 0.36558740333453427, 0.34446491992105044, 0.3247651431971649, 0.3084336071412192, 0.2958302843783583, 0.2812051422782798]","[0.4760652160644531, 0.40191028442382815, 0.3688413146972656, 0.3437708099365234, 0.3367049072265625, 0.313655126953125, 0.2954077056884766, 0.28543984375, 0.2788089340209961, 0.27123089447021487]","[0.8221, 0.8495, 0.8613, 0.8702, 0.8729, 0.8841, 0.891, 0.8961, 0.8981, 0.9019]"
SGD,0.01,0.0,0.0001,None,128,10,0.3163841969168771,0.30043356628417967,0.8887,0.8887,9,"[0.9289258065254196, 0.5335421683564623, 0.45938740839073655, 0.4228194416014116, 0.3937412324363489, 0.37244879722849394, 0.3564126168105648, 0.3408138468893352, 0.32812240681668586, 0.3163841969168771]","[0.5349993316650391, 0.4462266143798828, 0.3994288787841797, 0.36936148376464845, 0.35315892639160157, 0.3334737091064453, 0.3338819946289063, 0.3195589569091797, 0.3061945251464844, 0.30043356628417967]","[0.7985, 0.8281, 0.852, 0.8659, 0.8704, 0.8773, 0.8797, 0.8825, 0.8852, 0.8887]"
SGD,0.01,0.0,0.0001,None,256,10,0.41293460397010157,0.3724581298828125,0.8649,0.8649,9,"[1.2050719032896327, 0.7265507077917139, 0.6236450986659273, 0.5569892906128092, 0.5111679581885642, 0.48014396682698673, 0.46280507927245285, 0.44050389198546713, 0.4259498318459125, 0.41293460397010157]","[0.7204084777832032, 0.5799678344726562, 0.5364437286376953, 0.4911534088134766, 0.4432641815185547, 0.41967002563476563, 0.41256383361816407, 0.3959343994140625, 0.3766206970214844, 0.3724581298828125]","[0.7321, 0.7827, 0.7919, 0.8127, 0.8443, 0.8438, 0.8495, 0.8549, 0.8638, 0.8649]"
SGD,0.01,0.0,0.0001,batchnorm,64,10,0.18517574761261438,0.21620634155273438,0.9206,0.9213,8,"[0.5370728458518158, 0.3478019036876876, 0.2991781731261246, 0.2704015889687579, 0.2495082821577851, 0.23282874965750333, 0.21682991907159402, 0.20652414592646207, 0.19653869148637695, 0.18517574761261438]","[0.32315331115722656, 0.276825732421875, 0.2663674301147461, 0.25931522064208984, 0.24966233978271485, 0.22411073760986328, 0.2322125, 0.23660192413330078, 0.21456642303466797, 0.21620634155273438]","[0.8791, 0.8988, 0.9038, 0.9091, 0.9076, 0.915, 0.9152, 0.9143, 0.9213, 0.9206]"
SGD,0.01,0.0,0.0001,batchnorm,128,10,0.20201160742847651,0.2329837387084961,0.9158,0.9175,8,"[0.5516673420538017, 0.36686851980208335, 0.31798664612302396, 0.2842008170923953, 0.26142581785792735, 0.24972586473549352, 0.23266643921195318, 0.22192091606001355, 0.2104338443260203, 0.20201160742847651]","[0.36717855224609375, 0.29791319274902345, 0.2851941116333008, 0.2711317687988281, 0.24856541900634765, 0.2502859252929687, 0.23496253356933594, 0.2433363037109375, 0.2300548812866211, 0.2329837387084961]","[0.8647, 0.8898, 0.8977, 0.9012, 0.9087, 0.9097, 0.9125, 0.9103, 0.9175, 0.9158]"
SGD,0.01,0.0,0.0001,batchnorm,256,10,0.22328818110709495,0.24190122833251954,0.914,0.914,9,"[0.6299235572206213, 0.4041448718689858, 0.348262105470008, 0.31343822111474706, 0.2912216903047359, 0.2725443774715383, 0.2575183634428268, 0.24467809878765268, 0.23434568256773847, 0.22328818110709495]","[0.4005264862060547, 0.3265477935791016, 0.31328406677246096, 0.30234761352539063, 0.2819233764648437, 0.3545216033935547, 0.25562142944335936, 0.2663654525756836, 0.2510683013916016, 0.24190122833251954]","[0.8521, 0.882, 0.8842, 0.8878, 0.895, 0.8708, 0.9058, 0.9041, 0.9096, 0.914]"
SGD,0.01,0.0,0.0001,layernorm,64,10,0.21189163832553923,0.21765184936523438,0.9204,0.9204,9,"[0.7048812827893666, 0.41104359580064886, 0.34569480880173536, 0.30734974288864175, 0.28269394163066136, 0.26276445429303497, 0.2461550753476269, 0.23355855682352458, 0.22273435200582434, 0.21189163832553923]","[0.39010284118652344, 0.33047064819335936, 0.287241943359375, 0.2624541397094727, 0.24586782836914062, 0.2484262161254883, 0.2258502670288086, 0.23035514068603516, 0.221275, 0.21765184936523438]","[0.856, 0.8769, 0.8949, 0.9047, 0.9113, 0.9091, 0.92, 0.9135, 0.9202, 0.9204]"
SGD,0.01,0.0,0.0001,layernorm,128,10,0.2229907828162728,0.2358335723876953,0.9106,0.9106,9,"[0.6530830323823226, 0.41904182506522647, 0.3601555285423295, 0.32279311724181875, 0.30063840772297334, 0.27947376366617327, 0.26135941184977735, 0.2481337003330432, 0.23647886258897496, 0.2229907828162728]","[0.3867157928466797, 0.3368612640380859, 0.3032662231445313, 0.27954825439453124, 0.26391932678222657, 0.25473707427978515, 0.25310272521972654, 0.2441677978515625, 0.24787662963867188, 0.2358335723876953]","[0.8562, 0.8762, 0.8875, 0.8956, 0.9025, 0.9075, 0.906, 0.9099, 0.906, 0.9106]"
SGD,0.01,0.0,0.0001,layernorm,256,10,0.2534209543086113,0.25109511566162107,0.906,0.9062,8,"[0.7912311592000596, 0.4572310225760683, 0.3954706970681535, 0.3561100065074068, 0.3291747818601892, 0.30724369972310167, 0.29040950390886755, 0.27915039373205064, 0.26887739706546704, 0.2534209543086113]","[0.43660882568359377, 0.3750756072998047, 0.33598619689941406, 0.30884627075195314, 0.32009263305664065, 0.2852123260498047, 0.2784177276611328, 0.2603455337524414, 0.25446485748291015, 0.25109511566162107]","[0.8414, 0.8607, 0.8774, 0.8884, 0.8812, 0.8938, 0.895, 0.9035, 0.9062, 0.906]"
